"id";"companyName";"symbol"
100881783200940151;"Alexandria Real Estate Equities, Inc.";"ARE"
100881783200940152;"Raymond James Financial, Inc.";"RJF"
100881783200940153;"Sempra";"SRE"
100881783200940154;"Synopsys, Inc.";"SNPS"
100881783200940155;"Regency Centers Corporation";"REG"
100881783200940156;"Cboe Global Markets, Inc.";"CBOE"
100881783200940157;"Incyte Corporation";"INCY"
100881783200940158;"IDEXX Laboratories, Inc.";"IDXX"
100881783200940159;"Mid-America Apartment Communities, Inc.";"MAA"
100881783200940160;"Dominion Energy, Inc.";"D"
100881783200940161;"Howmet Aerospace Inc.";"HWM"
100881783200940162;"The Cooper Companies, Inc.";"COO"
100881783200940163;"Charter Communications, Inc.";"CHTR"
100881783200940164;"Mettler-Toledo International Inc.";"MTD"
100881783200940165;"Albemarle Corporation";"ALB"
100881783200940166;"Fortive Corporation";"FTV"
100881783200940167;"Alliant Energy Corporation";"LNT"
100881783200940168;"TransDigm Group Incorporated";"TDG"
100881783200940169;"Arthur J. Gallagher & Co.";"AJG"
100881783200940170;"LKQ Corporation";"LKQ"
100881783200940171;"Digital Realty Trust, Inc.";"DLR"
100881783200940172;"Global Payments Inc.";"GPN"
100881783200940173;"Ulta Beauty, Inc.";"ULTA"
100881783200940174;"Centene Corporation";"CNC"
100881783200940175;"Hologic, Inc.";"HOLX"
100881783200940176;"UDR, Inc.";"UDR"
100881783200940177;"American Water Works Company, Inc.";"AWK"
100881783200940178;"Federal Realty Investment Trust";"FRT"
100881783200940179;"Citizens Financial Group, Inc.";"CFG"
100881783200940180;"Extra Space Storage Inc.";"EXR"
100881783200940181;"Willis Towers Watson Public Limited Company";"WTW"
100881783200940182;"Church & Dwight Co., Inc.";"CHD"
100881783200940183;"Illumina, Inc.";"ILMN"
100881783200940184;"Synchrony Financial";"SYF"
100881783200940185;"Hewlett Packard Enterprise Company";"HPE"
100881783200940186;"Verisk Analytics, Inc.";"VRSK"
100881783200940187;"News Corporation";"NWS"
100881783200940188;"United Airlines Holdings, Inc.";"UAL"
100881783200940189;"PayPal Holdings, Inc.";"PYPL"
100881783200940190;"The Kraft Heinz Company";"KHC"
100881783200940191;"J.B. Hunt Transport Services, Inc.";"JBHT"
100881783200940192;"WestRock Company";"WRK"
100881783200940193;"Qorvo, Inc.";"QRVO"
100881783200940194;"Realty Income Corporation";"O"
100881783200940195;"American Airlines Group Inc.";"AAL"
100881783200940196;"Equinix, Inc.";"EQIX"
100881783200940197;"Henry Schein, Inc.";"HSIC"
100881783200940198;"Skyworks Solutions, Inc.";"SWKS"
100881783200940199;"HCA Healthcare, Inc.";"HCA"
100881783200940200;"Royal Caribbean Cruises Ltd.";"RCL"
