"index_id";"date";"open";"high";"low";"close";"adjClose";"volume";"unadjustedVolume";"change";"changePercentage";"vwap";"changeOverTime"
100881783200940536;"2021-11-10 00:00:00";4670.26;4684.85;4630.86;4646.71;4646.71;4503720000;4503720000;-23.55;-0.5043;4654.14;-0.01
100881783200940536;"2021-11-11 00:00:00";4659.39;4664.55;4648.31;4649.27;4649.27;3926870000;3926870000;-10.12;-0.2172;4654.04;0.0
100881783200940536;"2021-11-12 00:00:00";4655.24;4688.47;4650.77;4682.85;4682.85;3728600000;3728600000;27.61;0.5931;4674.03;0.01
100881783200940536;"2021-11-15 00:00:00";4689.3;4697.42;4672.86;4682.8;4682.8;3488410000;3488410000;-6.5;-0.1386;4684.36;0.0
100881783200940536;"2021-11-16 00:00:00";4679.42;4714.95;4679.42;4700.9;4700.9;3972640000;3972640000;21.48;0.459;4698.42;0.0
100881783200940536;"2021-11-17 00:00:00";4701.5;4701.5;4684.41;4688.67;4688.67;3969070000;3969070000;-12.83;-0.2729;4691.53;0.0
100881783200940536;"2021-11-18 00:00:00";4700.72;4708.8;4672.78;4704.54;4704.54;4226410000;4226410000;3.82;0.0813;4695.37;0.0
100881783200940536;"2021-11-19 00:00:00";4708.44;4717.75;4694.22;4697.96;4697.96;4253180000;4253180000;-10.48;-0.2226;4703.31;0.0
100881783200940536;"2021-11-22 00:00:00";4712.0;4743.83;4682.17;4682.94;4682.94;4441100000;4441100000;-29.06;-0.6167;4702.98;-0.01
100881783200940536;"2021-11-23 00:00:00";4678.48;4699.39;4652.66;4690.7;4690.7;4277590000;4277590000;12.22;0.2612;4680.92;0.0
100881783200940536;"2021-11-24 00:00:00";4675.78;4702.87;4659.89;4701.46;4701.46;3418430000;3418430000;25.68;0.5492;4688.07;0.01
100881783200940536;"2021-11-26 00:00:00";4664.63;4664.63;4585.43;4594.62;4594.62;3517700000;3517700000;-70.01;-1.5;4614.89;-0.02
100881783200940536;"2021-11-29 00:00:00";4628.75;4672.95;4625.26;4655.27;4655.27;4336410000;4336410000;26.52;0.5729;4651.16;0.01
100881783200940536;"2021-11-30 00:00:00";4640.25;4646.02;4560.0;4567.0;4567.0;6625990000;6625990000;-73.25;-1.58;4591.01;-0.02
100881783200940536;"2021-12-01 00:00:00";4602.82;4652.94;4510.27;4513.04;4513.04;5366730000;5366730000;-89.78;-1.95;4558.75;-0.02
100881783200940536;"2021-12-02 00:00:00";4504.73;4595.46;4504.73;4577.1;4577.1;5077180000;5077180000;72.37;1.61;4559.1;0.02
100881783200940536;"2021-12-03 00:00:00";4589.49;4608.03;4495.12;4538.43;4538.43;5240070000;5240070000;-51.06;-1.11;4547.19;-0.01
100881783200940536;"2021-12-06 00:00:00";4548.37;4612.6;4540.51;4591.67;4591.67;4770800000;4770800000;43.3;0.952;4581.59;0.01
100881783200940536;"2021-12-07 00:00:00";4631.97;4694.04;4631.97;4686.75;4686.75;4492400000;4492400000;54.78;1.18;4670.92;0.01
100881783200940536;"2021-12-08 00:00:00";4690.86;4705.06;4674.52;4701.21;4701.21;4234600000;4234600000;10.35;0.2206;4693.6;0.0
100881783200940536;"2021-12-09 00:00:00";4691.0;4695.26;4665.98;4667.45;4667.45;3903840000;3903840000;-23.55;-0.502;4676.23;-0.01
100881783200940536;"2021-12-10 00:00:00";4687.64;4713.57;4670.24;4712.02;4712.02;3870110000;3870110000;24.38;0.5201;4698.61;0.01
100881783200940536;"2021-12-13 00:00:00";4710.3;4710.3;4667.6;4668.97;4668.97;4397230000;4397230000;-41.33;-0.8774;4682.29;-0.01
100881783200940536;"2021-12-14 00:00:00";4642.99;4660.47;4606.52;4634.09;4634.09;4485430000;4485430000;-8.9;-0.1917;4633.69;0.0
100881783200940536;"2021-12-15 00:00:00";4636.46;4712.6;4611.22;4709.85;4709.85;4910130000;4910130000;73.39;1.58;4677.89;0.02
100881783200940536;"2021-12-16 00:00:00";4719.13;4731.99;4651.89;4668.67;4668.67;4829500000;4829500000;-50.46;-1.07;4684.18;-0.01
100881783200940536;"2021-12-17 00:00:00";4652.5;4666.7;4600.22;4620.64;4620.64;7987090000;7987090000;-31.86;-0.6848;4629.19;-0.01
100881783200940536;"2021-12-20 00:00:00";4587.9;4587.9;4531.1;4568.02;4568.02;4635700000;4635700000;-19.88;-0.4333;4562.34;0.0
100881783200940536;"2021-12-21 00:00:00";4594.96;4651.14;4583.16;4649.23;4649.23;4072430000;4072430000;54.27;1.18;4627.84;0.01
100881783200940536;"2021-12-22 00:00:00";4650.36;4697.67;4645.53;4696.56;4696.56;3319610000;3319610000;46.2;0.9935;4679.92;0.01
100881783200940536;"2021-12-23 00:00:00";4703.96;4740.74;4703.96;4725.79;4725.79;2913040000;2913040000;21.83;0.4641;4723.5;0.0
100881783200940536;"2021-12-27 00:00:00";4733.99;4791.49;4733.99;4791.19;4791.19;2770290000;2770290000;57.2;1.21;4772.22;0.01
100881783200940536;"2021-12-28 00:00:00";4795.49;4807.02;4780.04;4786.35;4786.35;2707920000;2707920000;-9.14;-0.1906;4791.14;0.0
100881783200940536;"2021-12-29 00:00:00";4788.64;4804.06;4778.08;4793.06;4793.06;2963310000;2963310000;4.42;0.0923;4791.73;0.0
100881783200940536;"2021-12-30 00:00:00";4794.23;4808.93;4775.33;4778.73;4778.73;3124950000;3124950000;-15.5;-0.3233;4787.66;0.0
100881783200940536;"2021-12-31 00:00:00";4775.21;4786.83;4765.75;4766.18;4766.18;2677820000;2677820000;-9.03;-0.1891;4772.92;0.0
